original_name,matched_name,source,multiple
WATK INS ELEMENTARY SCHOOL,WATKINS ES CAPITOL HILL CLUSTER,ccd,0
WATKI NS ELEMENTARY SCHOOL,WATKINS ES CAPITOL HILL CLUSTER,ccd,0
WATKINS ELEMENTARY SCHOOL,WATKINS ES CAPITOL HILL CLUSTER,ccd,0
WE ST ELEMENTARY SCHOOL,WEST ELEMENTARY CAMPUS,ccd,0
WES T ELEMENTARY SCHOOL,WEST ELEMENTARY CAMPUS,ccd,0
WH EAT LEY ELEMENTARY SCHOOL,WHEATLEY ELEMENTARY CAMPUS,ccd,0
WH ITT IER ELEMENTARY SCHOOL,WHEATLEY ELEMENTARY CAMPUS,ccd,0
WHEA T LEY ELEMENTARY SCHOOL,WHEATLEY ELEMENTARY CAMPUS,ccd,0
WHEAT LEY ELEMENTARY SCHOOL,WHEATLEY ELEMENTARY CAMPUS,ccd,0
WHIT T IE R ELEMENTARY SCHOOL,WHITTIER ELEMENTARY CAMPUS,ccd,0
WHIT T IER ELEMENTARY SCHOOL,WHITTIER ELEMENTARY CAMPUS,ccd,0
WHITT IE R ELEMENTARY SCHOOL,WHITTIER ELEMENTARY CAMPUS,ccd,0
WHITTIE R ELEMENTARY SCHOOL,WHITTIER ELEMENTARY CAMPUS,ccd,0
WHITTIER ELEMENTARY SCHOOL,WHITTIER ELEMENTARY CAMPUS,ccd,0
"WI LLIAM E. DOAR, JR. PCSF OR THE PERFO RM ING ARTS",WILLIAM E DOAR PCS NW SOLDIERS HOME,ccd,0
WI LSON J. 0. ELEMENTARY SCHOOL,J O WILSON ELEMENTARY SCHOOL,ccd,0
WI LSON SENIO R HIGH SCHOOL,WOODROW WILSON HIGH SCHOOL,ccd,0
WI LSON SENIOR HIGH SCHOOL,WOODROW WILSON HIGH SCHOOL,ccd,0
WIL SON SENIOR HIGH SCHOOL,WOODROW WILSON HIGH SCHOOL,ccd,0
"WILL IAM E. DOAR, JR. PCSF OR THE PERFOR MING ARTS",WILLIAM E DOAR PCS NW SOLDIERS HOME,ccd,0
"WILLI AM E. DOAR, JR. PCS FOR THE PERFO RMING ARTS",WILLIAM E DOAR PCS NW SOLDIERS HOME,ccd,0
WILSON SENIOR HIGH SCHOOL,WOODROW WILSON HIGH SCHOOL,ccd,0
WILSONJ. 0. ELEMENTARY SCHOOL,J O WILSON ELEMENTARY SCHOOL,ccd,0
WO ODSO N ACADEMY@ RON BROWN,RON BROWN MIDDLE SCHOOL,ccd,0
WO ODSON ACADEMY@ RON BROWN,RON BROWN MIDDLE SCHOOL,ccd,0
WOO DSON ACADEMY @ RON BROWN,RON BROWN MIDDLE SCHOOL,ccd,0
WOO DSON ACADEMY@ RON BROWN,RON BROWN MIDDLE SCHOOL,ccd,0
WOOD SON ACADEM Y @ RON BROWN,RON BROWN MIDDLE SCHOOL,ccd,0
WOOD SON ACADEMY@ RON BROWN,RON BROWN MIDDLE SCHOOL,ccd,0
WOODSON ACADE MY@ RON BROWN,RON BROWN MIDDLE SCHOOL,ccd,0
WOODSON ACADEM Y@ RON BROWN,RON BROWN MIDDLE SCHOOL,ccd,0
WOODSON ACADEMY @ RON BROW N,RON BROWN MIDDLE SCHOOL,ccd,0
WOODSON ACADEMY @ RON BROWN,RON BROWN MIDDLE SCHOOL,ccd,0
WOODSON ACADEMY@,RON BROWN MIDDLE SCHOOL,ccd,0
WOODSON ACADEMY@ RON BROWN,RON BROWN MIDDLE SCHOOL,ccd,0
YOUTH BUILD PCS (LAY C),YOUTHBUILD PCS,ccd,0
YOUTH BUILD PCS (LAYC),YOUTHBUILD PCS,ccd,0
