year,ncessch,school_name,state_name,disability,enrollment_crdc
2015,1.10003E+11,C W  Harris ES,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10003E+11,C W  Harris ES,District of Columbia,Total,300
2015,1.10003E+11,C W  Harris ES,District of Columbia,Students with disabilities served under IDEA,74
2015,1.10003E+11,Hardy MS,District of Columbia,Students with disabilities served under Section 504,10
2015,1.10003E+11,Hardy MS,District of Columbia,Total,377
2015,1.10003E+11,Hardy MS,District of Columbia,Students with disabilities served under IDEA,43
2015,1.10003E+11,Stuart Hobson MS Capitol Hill Cluster,District of Columbia,Students with disabilities served under Section 504,12
2015,1.10003E+11,Stuart Hobson MS Capitol Hill Cluster,District of Columbia,Total,427
2015,1.10003E+11,Stuart Hobson MS Capitol Hill Cluster,District of Columbia,Students with disabilities served under IDEA,54
2015,1.10003E+11,Luke Moore Alternative HS,District of Columbia,Students with disabilities served under Section 504,4
2015,1.10003E+11,Luke Moore Alternative HS,District of Columbia,Total,289
2015,1.10003E+11,Luke Moore Alternative HS,District of Columbia,Students with disabilities served under IDEA,29
2015,1.10003E+11,Ballou STAY,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10003E+11,Ballou STAY,District of Columbia,Total,496
2015,1.10003E+11,Ballou STAY,District of Columbia,Students with disabilities served under IDEA,44
2015,1.10003E+11,Roosevelt STAY at MacFarland,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10003E+11,Roosevelt STAY at MacFarland,District of Columbia,Total,818
2015,1.10003E+11,Roosevelt STAY at MacFarland,District of Columbia,Students with disabilities served under IDEA,46
2015,1.10003E+11,McKinley Technology HS,District of Columbia,Students with disabilities served under Section 504,11
2015,1.10003E+11,McKinley Technology HS,District of Columbia,Total,654
2015,1.10003E+11,McKinley Technology HS,District of Columbia,Students with disabilities served under IDEA,11
2015,1.10003E+11,Kelly Miller MS,District of Columbia,Students with disabilities served under Section 504,5
2015,1.10003E+11,Kelly Miller MS,District of Columbia,Total,455
2015,1.10003E+11,Kelly Miller MS,District of Columbia,Students with disabilities served under IDEA,80
2015,1.10003E+11,Youth Services Center,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10003E+11,Youth Services Center,District of Columbia,Total,69
2015,1.10003E+11,Youth Services Center,District of Columbia,Students with disabilities served under IDEA,35
2015,1.10003E+11,Incarcerated Youth Program Correctional Detention Facility,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10003E+11,Incarcerated Youth Program Correctional Detention Facility,District of Columbia,Total,37
2015,1.10003E+11,Incarcerated Youth Program Correctional Detention Facility,District of Columbia,Students with disabilities served under IDEA,22
2015,1.10003E+11,Columbia Heights EC,District of Columbia,Students with disabilities served under Section 504,22
2015,1.10003E+11,Columbia Heights EC,District of Columbia,Total,1392
2015,1.10003E+11,Columbia Heights EC,District of Columbia,Students with disabilities served under IDEA,139
2015,1.10003E+11,Washington Metropolitan HS formerly YEA,District of Columbia,Students with disabilities served under Section 504,6
2015,1.10003E+11,Washington Metropolitan HS formerly YEA,District of Columbia,Total,146
2015,1.10003E+11,Washington Metropolitan HS formerly YEA,District of Columbia,Students with disabilities served under IDEA,35
2015,1.10003E+11,Phelps Architecture Construction and Engineering HS,District of Columbia,Students with disabilities served under Section 504,12
2015,1.10003E+11,Phelps Architecture Construction and Engineering HS,District of Columbia,Total,309
2015,1.10003E+11,Phelps Architecture Construction and Engineering HS,District of Columbia,Students with disabilities served under IDEA,32
2015,1.10003E+11,CHOICE Academy at Emery,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10003E+11,CHOICE Academy at Emery,District of Columbia,Total,2
2015,1.10003E+11,CHOICE Academy at Emery,District of Columbia,Students with disabilities served under IDEA,
2015,1.10003E+11,Langley EC,District of Columbia,Students with disabilities served under Section 504,4
2015,1.10003E+11,Langley EC,District of Columbia,Total,285
2015,1.10003E+11,Langley EC,District of Columbia,Students with disabilities served under IDEA,72
2015,1.10003E+11,Capitol Hill Montessori School at Logan,District of Columbia,Students with disabilities served under Section 504,4
2015,1.10003E+11,Capitol Hill Montessori School at Logan,District of Columbia,Total,330
2015,1.10003E+11,Capitol Hill Montessori School at Logan,District of Columbia,Students with disabilities served under IDEA,14
2015,1.10003E+11,Jefferson Middle School Academy,District of Columbia,Students with disabilities served under Section 504,9
2015,1.10003E+11,Jefferson Middle School Academy,District of Columbia,Total,269
2015,1.10003E+11,Jefferson Middle School Academy,District of Columbia,Students with disabilities served under IDEA,59
2015,1.10003E+11,School Within School at Goding,District of Columbia,Students with disabilities served under Section 504,14
2015,1.10003E+11,School Within School at Goding,District of Columbia,Total,290
2015,1.10003E+11,School Within School at Goding,District of Columbia,Students with disabilities served under IDEA,46
2015,1.10003E+11,McKinley Middle School,District of Columbia,Students with disabilities served under Section 504,6
2015,1.10003E+11,McKinley Middle School,District of Columbia,Total,229
2015,1.10003E+11,McKinley Middle School,District of Columbia,Students with disabilities served under IDEA,41
2015,1.10003E+11,Brookland MS,District of Columbia,Students with disabilities served under Section 504,7
2015,1.10003E+11,Brookland MS,District of Columbia,Total,331
2015,1.10003E+11,Brookland MS,District of Columbia,Students with disabilities served under IDEA,56
2015,1.10003E+11,Dorothy Heights,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10003E+11,Dorothy Heights,District of Columbia,Total,499
2015,1.10003E+11,Dorothy Heights,District of Columbia,Students with disabilities served under IDEA,39
2015,1.10003E+11,Van Ness ES,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10003E+11,Van Ness ES,District of Columbia,Total,86
2015,1.10003E+11,Van Ness ES,District of Columbia,Students with disabilities served under IDEA,
2015,1.10003E+11,River Terrace EC,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10003E+11,River Terrace EC,District of Columbia,Total,121
2015,1.10003E+11,River Terrace EC,District of Columbia,Students with disabilities served under IDEA,115
2015,1.10003E+11,KIPP DC KEY Academy PCS,District of Columbia,Students with disabilities served under Section 504,7
2015,1.10003E+11,KIPP DC KEY Academy PCS,District of Columbia,Total,343
2015,1.10003E+11,KIPP DC KEY Academy PCS,District of Columbia,Students with disabilities served under IDEA,53
2015,1.10003E+11,KIPP DC LEAP Academy PCS,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10003E+11,KIPP DC LEAP Academy PCS,District of Columbia,Total,215
2015,1.10003E+11,KIPP DC LEAP Academy PCS,District of Columbia,Students with disabilities served under IDEA,17
2015,1.10003E+11,KIPP DC WILL Academy PCS,District of Columbia,Students with disabilities served under Section 504,4
2015,1.10003E+11,KIPP DC WILL Academy PCS,District of Columbia,Total,302
2015,1.10003E+11,KIPP DC WILL Academy PCS,District of Columbia,Students with disabilities served under IDEA,71
2015,1.10003E+11,KIPP DC AIM Academy PCS,District of Columbia,Students with disabilities served under Section 504,4
2015,1.10003E+11,KIPP DC AIM Academy PCS,District of Columbia,Total,351
2015,1.10003E+11,KIPP DC AIM Academy PCS,District of Columbia,Students with disabilities served under IDEA,95
2015,1.10003E+11,KIPP DC PCS Promise Academy,District of Columbia,Students with disabilities served under Section 504,4
2015,1.10003E+11,KIPP DC PCS Promise Academy,District of Columbia,Total,515
2015,1.10003E+11,KIPP DC PCS Promise Academy,District of Columbia,Students with disabilities served under IDEA,74
2015,1.10003E+11,KIPP DC College Preparatory Academy PCS,District of Columbia,Students with disabilities served under Section 504,7
2015,1.10003E+11,KIPP DC College Preparatory Academy PCS,District of Columbia,Total,507
2015,1.10003E+11,KIPP DC College Preparatory Academy PCS,District of Columbia,Students with disabilities served under IDEA,95
2015,1.10003E+11,KIPP DC Discover Academy PCS,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10003E+11,KIPP DC Discover Academy PCS,District of Columbia,Total,347
2015,1.10003E+11,KIPP DC Discover Academy PCS,District of Columbia,Students with disabilities served under IDEA,26
2015,1.10003E+11,KIPP DC GROW Academy PCS,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10003E+11,KIPP DC GROW Academy PCS,District of Columbia,Total,331
2015,1.10003E+11,KIPP DC GROW Academy PCS,District of Columbia,Students with disabilities served under IDEA,32
2015,1.10003E+11,KIPP DC Heights Academy PCS,District of Columbia,Students with disabilities served under Section 504,10
2015,1.10003E+11,KIPP DC Heights Academy PCS,District of Columbia,Total,433
2015,1.10003E+11,KIPP DC Heights Academy PCS,District of Columbia,Students with disabilities served under IDEA,56
2015,1.10003E+11,KIPP DC LEAD Academy PCS,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10003E+11,KIPP DC LEAD Academy PCS,District of Columbia,Total,422
2015,1.10003E+11,KIPP DC LEAD Academy PCS,District of Columbia,Students with disabilities served under IDEA,50
2015,1.10003E+11,KIPP DC Connect Academy PCS,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10003E+11,KIPP DC Connect Academy PCS,District of Columbia,Total,318
2015,1.10003E+11,KIPP DC Connect Academy PCS,District of Columbia,Students with disabilities served under IDEA,29
2015,1.10003E+11,KIPP DC Spring Academy PCS,District of Columbia,Students with disabilities served under Section 504,4
2015,1.10003E+11,KIPP DC Spring Academy PCS,District of Columbia,Total,217
2015,1.10003E+11,KIPP DC Spring Academy PCS,District of Columbia,Students with disabilities served under IDEA,23
2015,1.10003E+11,KIPP DC Valor Academy PCS,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10003E+11,KIPP DC Valor Academy PCS,District of Columbia,Total,120
2015,1.10003E+11,KIPP DC Valor Academy PCS,District of Columbia,Students with disabilities served under IDEA,29
2015,1.10003E+11,KIPP DC Northeast Academy PCS,District of Columbia,Students with disabilities served under Section 504,7
2015,1.10003E+11,KIPP DC Northeast Academy PCS,District of Columbia,Total,241
2015,1.10003E+11,KIPP DC Northeast Academy PCS,District of Columbia,Students with disabilities served under IDEA,47
2015,1.10003E+11,KIPP DC Quest Academy PCS,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10003E+11,KIPP DC Quest Academy PCS,District of Columbia,Total,329
2015,1.10003E+11,KIPP DC Quest Academy PCS,District of Columbia,Students with disabilities served under IDEA,47
2015,1.10003E+11,KIPP DC Arts & Technology Academy PCS,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10003E+11,KIPP DC Arts & Technology Academy PCS,District of Columbia,Total,231
2015,1.10003E+11,KIPP DC Arts & Technology Academy PCS,District of Columbia,Students with disabilities served under IDEA,23
2015,1.10003E+11,Latin America Montessori Bilingual LAMB PCS,District of Columbia,Students with disabilities served under Section 504,16
2015,1.10003E+11,Latin America Montessori Bilingual LAMB PCS,District of Columbia,Total,377
2015,1.10003E+11,Latin America Montessori Bilingual LAMB PCS,District of Columbia,Students with disabilities served under IDEA,37
2015,1.10003E+11,Thurgood Marshall Academy PCS,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10003E+11,Thurgood Marshall Academy PCS,District of Columbia,Total,390
2015,1.10003E+11,Thurgood Marshall Academy PCS,District of Columbia,Students with disabilities served under IDEA,44
2015,1.10004E+11,Capital City Lower PCS,District of Columbia,Students with disabilities served under Section 504,4
2015,1.10004E+11,Capital City Lower PCS,District of Columbia,Total,326
2015,1.10004E+11,Capital City Lower PCS,District of Columbia,Students with disabilities served under IDEA,18
2015,1.10004E+11,Capital City Middle School PCS,District of Columbia,Students with disabilities served under Section 504,8
2015,1.10004E+11,Capital City Middle School PCS,District of Columbia,Total,310
2015,1.10004E+11,Capital City Middle School PCS,District of Columbia,Students with disabilities served under IDEA,47
2015,1.10004E+11,Capital City HS PCS,District of Columbia,Students with disabilities served under Section 504,8
2015,1.10004E+11,Capital City HS PCS,District of Columbia,Total,318
2015,1.10004E+11,Capital City HS PCS,District of Columbia,Students with disabilities served under IDEA,61
2015,1.10004E+11,Paul PCS Middle School,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10004E+11,Paul PCS Middle School,District of Columbia,Total,230
2015,1.10004E+11,Paul PCS Middle School,District of Columbia,Students with disabilities served under IDEA,26
2015,1.10004E+11,Paul PCS International HS,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10004E+11,Paul PCS International HS,District of Columbia,Total,441
2015,1.10004E+11,Paul PCS International HS,District of Columbia,Students with disabilities served under IDEA,64
2015,1.10004E+11,D C  Bilingual PCS,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10004E+11,D C  Bilingual PCS,District of Columbia,Total,411
2015,1.10004E+11,D C  Bilingual PCS,District of Columbia,Students with disabilities served under IDEA,51
2015,1.10004E+11,EL  Haynes PCS Middle School,District of Columbia,Students with disabilities served under Section 504,9
2015,1.10004E+11,EL  Haynes PCS Middle School,District of Columbia,Total,377
2015,1.10004E+11,EL  Haynes PCS Middle School,District of Columbia,Students with disabilities served under IDEA,85
2015,1.10004E+11,EL Haynes High School,District of Columbia,Students with disabilities served under Section 504,19
2015,1.10004E+11,EL Haynes High School,District of Columbia,Total,434
2015,1.10004E+11,EL Haynes High School,District of Columbia,Students with disabilities served under IDEA,103
2015,1.10004E+11,EL Haynes PCS Elementary School,District of Columbia,Students with disabilities served under Section 504,6
2015,1.10004E+11,EL Haynes PCS Elementary School,District of Columbia,Total,336
2015,1.10004E+11,EL Haynes PCS Elementary School,District of Columbia,Students with disabilities served under IDEA,34
2015,1.10004E+11,Mary McLeod Bethune Day Academy PCS Slowe Campus,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10004E+11,Mary McLeod Bethune Day Academy PCS Slowe Campus,District of Columbia,Total,421
2015,1.10004E+11,Mary McLeod Bethune Day Academy PCS Slowe Campus,District of Columbia,Students with disabilities served under IDEA,26
2015,1.10005E+11,Two Rivers PCS 4th Street,District of Columbia,Students with disabilities served under Section 504,19
2015,1.10005E+11,Two Rivers PCS 4th Street,District of Columbia,Total,524
2015,1.10005E+11,Two Rivers PCS 4th Street,District of Columbia,Students with disabilities served under IDEA,103
2015,1.10005E+11,Two Rivers PCS Young,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10005E+11,Two Rivers PCS Young,District of Columbia,Total,171
2015,1.10005E+11,Two Rivers PCS Young,District of Columbia,Students with disabilities served under IDEA,10
2015,1.10005E+11,D C  Preparatory PCS Edgewood Middle,District of Columbia,Students with disabilities served under Section 504,9
2015,1.10005E+11,D C  Preparatory PCS Edgewood Middle,District of Columbia,Total,310
2015,1.10005E+11,D C  Preparatory PCS Edgewood Middle,District of Columbia,Students with disabilities served under IDEA,51
2015,1.10005E+11,D C  Preparatory PCS  Benning Elementary,District of Columbia,Students with disabilities served under Section 504,9
2015,1.10005E+11,D C  Preparatory PCS  Benning Elementary,District of Columbia,Total,447
2015,1.10005E+11,D C  Preparatory PCS  Benning Elementary,District of Columbia,Students with disabilities served under IDEA,35
2015,1.10005E+11,D C  Preparatory PCS Edgewood Elementary,District of Columbia,Students with disabilities served under Section 504,6
2015,1.10005E+11,D C  Preparatory PCS Edgewood Elementary,District of Columbia,Total,442
2015,1.10005E+11,D C  Preparatory PCS Edgewood Elementary,District of Columbia,Students with disabilities served under IDEA,42
2015,1.10005E+11,D C Preparatory PCS Benning Middle,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10005E+11,D C Preparatory PCS Benning Middle,District of Columbia,Total,227
2015,1.10005E+11,D C Preparatory PCS Benning Middle,District of Columbia,Students with disabilities served under IDEA,41
2015,1.10005E+11,DC Preparatory Academy PCS  Anacostia Elementary,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10005E+11,DC Preparatory Academy PCS  Anacostia Elementary,District of Columbia,Total,141
2015,1.10005E+11,DC Preparatory Academy PCS  Anacostia Elementary,District of Columbia,Students with disabilities served under IDEA,7
2015,1.10005E+11,Eagle Academy PCS Congress Heights,District of Columbia,Students with disabilities served under Section 504,13
2015,1.10005E+11,Eagle Academy PCS Congress Heights,District of Columbia,Total,792
2015,1.10005E+11,Eagle Academy PCS Congress Heights,District of Columbia,Students with disabilities served under IDEA,95
2015,1.10005E+11,Eagle Academy PCS Capitol Riverfront,District of Columbia,Students with disabilities served under Section 504,4
2015,1.10005E+11,Eagle Academy PCS Capitol Riverfront,District of Columbia,Total,139
2015,1.10005E+11,Eagle Academy PCS Capitol Riverfront,District of Columbia,Students with disabilities served under IDEA,4
2015,1.10005E+11,Hope Community PCS Lamond Campus,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10005E+11,Hope Community PCS Lamond Campus,District of Columbia,Total,321
2015,1.10005E+11,Hope Community PCS Lamond Campus,District of Columbia,Students with disabilities served under IDEA,26
2015,1.10005E+11,Hope Community PCS Tolson Campus,District of Columbia,Students with disabilities served under Section 504,10
2015,1.10005E+11,Hope Community PCS Tolson Campus,District of Columbia,Total,520
2015,1.10005E+11,Hope Community PCS Tolson Campus,District of Columbia,Students with disabilities served under IDEA,51
2015,1.10005E+11,William E Doar Jr PCS for the Performing Arts,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10005E+11,William E Doar Jr PCS for the Performing Arts,District of Columbia,Total,451
2015,1.10005E+11,William E Doar Jr PCS for the Performing Arts,District of Columbia,Students with disabilities served under IDEA,29
2015,1.10005E+11,AppleTree Early Learning Center PCS Columbia Heights,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10005E+11,AppleTree Early Learning Center PCS Columbia Heights,District of Columbia,Total,160
2015,1.10005E+11,AppleTree Early Learning Center PCS Columbia Heights,District of Columbia,Students with disabilities served under IDEA,7
2015,1.10005E+11,AppleTree Early Learning Center PCS Southwest,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10005E+11,AppleTree Early Learning Center PCS Southwest,District of Columbia,Total,97
2015,1.10005E+11,AppleTree Early Learning Center PCS Southwest,District of Columbia,Students with disabilities served under IDEA,
2015,1.10005E+11,AppleTree Early Learning Center PCS Oklahoma,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10005E+11,AppleTree Early Learning Center PCS Oklahoma,District of Columbia,Total,159
2015,1.10005E+11,AppleTree Early Learning Center PCS Oklahoma,District of Columbia,Students with disabilities served under IDEA,4
2015,1.10005E+11,AppleTree Early Learning PCS Southeast,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10005E+11,AppleTree Early Learning PCS Southeast,District of Columbia,Total,176
2015,1.10005E+11,AppleTree Early Learning PCS Southeast,District of Columbia,Students with disabilities served under IDEA,7
2015,1.10005E+11,AppleTree Early Learning Center PCS Lincoln Park,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10005E+11,AppleTree Early Learning Center PCS Lincoln Park,District of Columbia,Total,69
2015,1.10005E+11,AppleTree Early Learning Center PCS Lincoln Park,District of Columbia,Students with disabilities served under IDEA,
2015,1.10006E+11,Bridges PCS,District of Columbia,Students with disabilities served under Section 504,8
2015,1.10006E+11,Bridges PCS,District of Columbia,Total,333
2015,1.10006E+11,Bridges PCS,District of Columbia,Students with disabilities served under IDEA,105
2015,1.10006E+11,Early Childhood Academy PCS,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10006E+11,Early Childhood Academy PCS,District of Columbia,Total,234
2015,1.10006E+11,Early Childhood Academy PCS,District of Columbia,Students with disabilities served under IDEA,29
2015,1.10006E+11,Howard University MS of Math and Science PCS,District of Columbia,Students with disabilities served under Section 504,7
2015,1.10006E+11,Howard University MS of Math and Science PCS,District of Columbia,Total,259
2015,1.10006E+11,Howard University MS of Math and Science PCS,District of Columbia,Students with disabilities served under IDEA,23
2015,1.10006E+11,Youthbuild PCS,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10006E+11,Youthbuild PCS,District of Columbia,Total,115
2015,1.10006E+11,Youthbuild PCS,District of Columbia,Students with disabilities served under IDEA,10
2015,1.10006E+11,St  Coletta Special Education PCS,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10006E+11,St  Coletta Special Education PCS,District of Columbia,Total,249
2015,1.10006E+11,St  Coletta Special Education PCS,District of Columbia,Students with disabilities served under IDEA,247
2015,1.10007E+11,Achievement Preparatory Academy PCS Middle School,District of Columbia,Students with disabilities served under Section 504,13
2015,1.10007E+11,Achievement Preparatory Academy PCS Middle School,District of Columbia,Total,355
2015,1.10007E+11,Achievement Preparatory Academy PCS Middle School,District of Columbia,Students with disabilities served under IDEA,68
2015,1.10007E+11,Achievement Preparatory PCS Elementary,District of Columbia,Students with disabilities served under Section 504,10
2015,1.10007E+11,Achievement Preparatory PCS Elementary,District of Columbia,Total,275
2015,1.10007E+11,Achievement Preparatory PCS Elementary,District of Columbia,Students with disabilities served under IDEA,26
2015,1.10007E+11,Center City PCS Capitol Hill,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10007E+11,Center City PCS Capitol Hill,District of Columbia,Total,249
2015,1.10007E+11,Center City PCS Capitol Hill,District of Columbia,Students with disabilities served under IDEA,23
2015,1.10007E+11,Center City PCS Petworth,District of Columbia,Students with disabilities served under Section 504,4
2015,1.10007E+11,Center City PCS Petworth,District of Columbia,Total,254
2015,1.10007E+11,Center City PCS Petworth,District of Columbia,Students with disabilities served under IDEA,25
2015,1.10007E+11,Center City PCS Brightwood,District of Columbia,Students with disabilities served under Section 504,6
2015,1.10007E+11,Center City PCS Brightwood,District of Columbia,Total,255
2015,1.10007E+11,Center City PCS Brightwood,District of Columbia,Students with disabilities served under IDEA,30
2015,1.10007E+11,Center City PCS Trinidad,District of Columbia,Students with disabilities served under Section 504,9
2015,1.10007E+11,Center City PCS Trinidad,District of Columbia,Total,210
2015,1.10007E+11,Center City PCS Trinidad,District of Columbia,Students with disabilities served under IDEA,20
2015,1.10007E+11,Center City PCS Shaw,District of Columbia,Students with disabilities served under Section 504,6
2015,1.10007E+11,Center City PCS Shaw,District of Columbia,Total,240
2015,1.10007E+11,Center City PCS Shaw,District of Columbia,Students with disabilities served under IDEA,21
2015,1.10007E+11,Center City PCS Congress Heights,District of Columbia,Students with disabilities served under Section 504,4
2015,1.10007E+11,Center City PCS Congress Heights,District of Columbia,Total,243
2015,1.10007E+11,Center City PCS Congress Heights,District of Columbia,Students with disabilities served under IDEA,17
2015,1.10008E+11,Excel Academy PCS,District of Columbia,Students with disabilities served under Section 504,5
2015,1.10008E+11,Excel Academy PCS,District of Columbia,Total,732
2015,1.10008E+11,Excel Academy PCS,District of Columbia,Students with disabilities served under IDEA,46
2015,1.10008E+11,Washington Yu Ying PCS,District of Columbia,Students with disabilities served under Section 504,12
2015,1.10008E+11,Washington Yu Ying PCS,District of Columbia,Total,551
2015,1.10008E+11,Washington Yu Ying PCS,District of Columbia,Students with disabilities served under IDEA,28
2015,1.10008E+11,National Collegiate Prep PCS,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10008E+11,National Collegiate Prep PCS,District of Columbia,Total,280
2015,1.10008E+11,National Collegiate Prep PCS,District of Columbia,Students with disabilities served under IDEA,50
2015,1.10008E+11,Inspired Teaching Demonstration PCS,District of Columbia,Students with disabilities served under Section 504,17
2015,1.10008E+11,Inspired Teaching Demonstration PCS,District of Columbia,Total,374
2015,1.10008E+11,Inspired Teaching Demonstration PCS,District of Columbia,Students with disabilities served under IDEA,47
2015,1.10008E+11,Shining Stars Montessori Academy PCS,District of Columbia,Students with disabilities served under Section 504,2
2015,1.10008E+11,Shining Stars Montessori Academy PCS,District of Columbia,Total,157
2015,1.10008E+11,Shining Stars Montessori Academy PCS,District of Columbia,Students with disabilities served under IDEA,7
2015,1.10008E+11,Richard Wright PCS for Journalism and Media Arts PCS,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10008E+11,Richard Wright PCS for Journalism and Media Arts PCS,District of Columbia,Total,287
2015,1.10008E+11,Richard Wright PCS for Journalism and Media Arts PCS,District of Columbia,Students with disabilities served under IDEA,53
2015,1.10008E+11,Basis DC PCS,District of Columbia,Students with disabilities served under Section 504,23
2015,1.10008E+11,Basis DC PCS,District of Columbia,Total,600
2015,1.10008E+11,Basis DC PCS,District of Columbia,Students with disabilities served under IDEA,18
2015,1.10008E+11,Creative Minds International PCS,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10008E+11,Creative Minds International PCS,District of Columbia,Total,238
2015,1.10008E+11,Creative Minds International PCS,District of Columbia,Students with disabilities served under IDEA,58
2015,1.10009E+11,DC Scholars PCS,District of Columbia,Students with disabilities served under Section 504,4
2015,1.10009E+11,DC Scholars PCS,District of Columbia,Total,448
2015,1.10009E+11,DC Scholars PCS,District of Columbia,Students with disabilities served under IDEA,47
2015,1.10009E+11,Mundo Verde Bilingual PCS,District of Columbia,Students with disabilities served under Section 504,11
2015,1.10009E+11,Mundo Verde Bilingual PCS,District of Columbia,Total,538
2015,1.10009E+11,Mundo Verde Bilingual PCS,District of Columbia,Students with disabilities served under IDEA,37
2015,1.10009E+11,Maya Angelou Academy at New Beginnings formerly Oak Hill,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10009E+11,Maya Angelou Academy at New Beginnings formerly Oak Hill,District of Columbia,Total,38
2015,1.10009E+11,Maya Angelou Academy at New Beginnings formerly Oak Hill,District of Columbia,Students with disabilities served under IDEA,22
2015,1.10009E+11,Sela PCS,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10009E+11,Sela PCS,District of Columbia,Total,133
2015,1.10009E+11,Sela PCS,District of Columbia,Students with disabilities served under IDEA,8
2015,1.10009E+11,Somerset Preparatory Academy PCS,District of Columbia,Students with disabilities served under Section 504,4
2015,1.10009E+11,Somerset Preparatory Academy PCS,District of Columbia,Total,280
2015,1.10009E+11,Somerset Preparatory Academy PCS,District of Columbia,Students with disabilities served under IDEA,74
2015,1.10009E+11,Ingenuity Prep PCS,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10009E+11,Ingenuity Prep PCS,District of Columbia,Total,289
2015,1.10009E+11,Ingenuity Prep PCS,District of Columbia,Students with disabilities served under IDEA,47
2015,1.10009E+11,Latin America Youth Center Career Academy,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10009E+11,Latin America Youth Center Career Academy,District of Columbia,Total,192
2015,1.10009E+11,Latin America Youth Center Career Academy,District of Columbia,Students with disabilities served under IDEA,11
2015,1.10009E+11,Lee Montessori PCS,District of Columbia,Students with disabilities served under Section 504,0
2015,1.10009E+11,Lee Montessori PCS,District of Columbia,Total,101
2015,1.10009E+11,Lee Montessori PCS,District of Columbia,Students with disabilities served under IDEA,21
2015,1.1001E+11,Democracy Prep Congress Heights PCS,District of Columbia,Students with disabilities served under Section 504,7
2015,1.1001E+11,Democracy Prep Congress Heights PCS,District of Columbia,Total,634
2015,1.1001E+11,Democracy Prep Congress Heights PCS,District of Columbia,Students with disabilities served under IDEA,98
2015,1.1001E+11,Harmony DC PCS School of Excellence,District of Columbia,Students with disabilities served under Section 504,4
2015,1.1001E+11,Harmony DC PCS School of Excellence,District of Columbia,Total,106
2015,1.1001E+11,Harmony DC PCS School of Excellence,District of Columbia,Students with disabilities served under IDEA,17
2015,1.1001E+11,District of Columbia International School,District of Columbia,Students with disabilities served under Section 504,21
2015,1.1001E+11,District of Columbia International School,District of Columbia,Total,404
2015,1.1001E+11,District of Columbia International School,District of Columbia,Students with disabilities served under IDEA,52
2015,1.1001E+11,Kingsman Academy PCS,District of Columbia,Students with disabilities served under Section 504,0
2015,1.1001E+11,Kingsman Academy PCS,District of Columbia,Total,267
2015,1.1001E+11,Kingsman Academy PCS,District of Columbia,Students with disabilities served under IDEA,152
2015,1.1001E+11,Monument Academy,District of Columbia,Students with disabilities served under Section 504,2
2015,1.1001E+11,Monument Academy,District of Columbia,Total,40
2015,1.1001E+11,Monument Academy,District of Columbia,Students with disabilities served under IDEA,20
2015,1.1001E+11,The Childrens Guild,District of Columbia,Students with disabilities served under Section 504,2
2015,1.1001E+11,The Childrens Guild,District of Columbia,Total,327
2015,1.1001E+11,The Childrens Guild,District of Columbia,Students with disabilities served under IDEA,89
2015,1.1001E+11,Washington Global,District of Columbia,Students with disabilities served under Section 504,6
2015,1.1001E+11,Washington Global,District of Columbia,Total,102
