attending_school,case_no,casetype,dcps_school_against,home_school
Langdon Eleme nta ry School,2012--0439,Aga inst LEA,Langdon Elementary School,Distr ict of Columbia Preparatory
.. -,2012--0439,Aga inst LEA,Langdon Elementary School,Distr ict of Columbia Preparatory
.. -,2012--0439,Aga inst LEA,Langdon Elementary School,A cad  emy PCS
.. -,2012--0439,Aga inst LEA,Eastern High School,A cad  emy PCS
Eastern High Schoo l,2012-0443,Aga inst LEA,Eastern High School,Eastern High Schoo l
Eastern High Schoo l,2012-0443,Aga inst LEA,Anacost ia Senior High School,Eastern High Schoo l
Anacostia Senior High School,2012-0442,Aga inst LEA,Anacost ia Senior High School,Eastern High Schoo l
Anacostia Senior High School,2012-0442,Aga inst LEA,Anacost ia Senior High Schoo l,Eastern High Schoo l
Anacostia Senior High School,2012-0442,Aga inst LEA,Wheat ley ES,Eastern High Schoo l
Wheatley,2012-0440,Against LEA,Wheat ley ES,Noyes Eleme ntary Schoo l
Wheatley,2012-0440,Against LEA,W heat ley ES,Noyes Eleme ntary Schoo l
Wheatley,2012-0440,Against LEA,Eastern High School,Noyes Eleme ntary Schoo l
Eastern High Schoo l,2012-0444,Aga inst LEA,Eastern High School,Noyes Eleme ntary Schoo l
Eastern High Schoo l,2012-0444,Aga inst LEA,Eastern High Schoo l,Noyes Eleme ntary Schoo l
Paul PCS,2012-0445,Aga inst LEA,Eastern High Schoo l,Ballou Senior High Schoo l
Paul PCS,2012-0445,Aga inst LEA,Anacost ia Senior High School,Ballou Senior High Schoo l
Anacostia Senior High School,2012-04 47,Aga inst LEA,Anacost ia Senior High School,Anacost ia Senior High Schoo l
Prospect LC,2012-04 46,Aga inst LEA,Prospect LC,Anacost ia Senior High Schoo l
Prospect LC,2012-04 46,Aga inst LEA,High Road DC A-M,H.D. Woodson Senior High
High Road DC A-M,2012-0457,Aga inst LEA,High Road DC A-M,H.D. Woodson Senior High
High Road DC A-M,2012-0457,Aga inst LEA,High Road DC A-M,School
High Road DC A-M,2012-0457,Aga inst LEA,Browne EC,School
Brow ne EC,2012-0455,Aga inst LEA,Browne EC,Cool idge High School
Brow ne EC,2012-0455,Aga inst LEA,Patterson ES,Cool idge High School
Patterso n ES,2012-045 1,Aga inst LEA,Patterson ES,Cool idge High School
Patterso n ES,2012-045 1,Aga inst LEA,Patt erson ES,Cool idge High School
Patterso n ES,2012-045 1,Aga inst LEA,Booker T. Washington PCS,Cool idge High School
Patterso n ES,2012-045 1,Aga inst LEA,Booker T. Wash ington PCS,Cool idge High School
Roosevel t High Schoo l,2012-0456,Aga inst LEA,Booker T. Wash ington PCS,Roosevel t High School
Roosevel t High Schoo l,2012-0456,Aga inst LEA,Booker T. Washington PCS,Roosevel t High School
Roosevel t High Schoo l,2012-0456,Aga inst LEA,Ronald H. Brown MS,Roosevel t High School
Roosevel t High Schoo l,2012-0456,Aga inst LEA,Rona ld H. Brown MS,Roosevel t High School
Ronald H. Brown,2012-0454,Exped ite d Discip line,Rona ld H. Brown MS,Roosevel t High School
Ronald H. Brown,2012-0454,Exped ite d Discip line,Ronald H. Brown MS,Roosevel t High School
Ronald H. Brown,2012-0454,Exped ite d Discip line,Anacost ia Sen ior High School,Roosevel t High School
Anacosti a Senio r High School,2012-0452,Aga inst LEA,Anacost ia Sen ior High School,Roosevel t High School
Anacosti a Senio r High School,2012-0452,Aga inst LEA,Anacost ia Senior High School,Roosevel t High School
Anacosti a Senio r High School,2012-0452,Aga inst LEA,Johnson MS,Roosevel t High School
Johnson MS,2012-0448,Against LEA,Johnson MS,Roosevel t High School
Johnson MS,2012-0448,Against LEA,Patterson ES,Roosevel t High School
Patters on ES,2012-0450,Aga inst LEA,Patterson ES,Roosevel t High School
Patters on ES,2012-0450,Aga inst LEA,Spingarn Senior High School,Roosevel t High School
Patters on ES,2012-0450,Aga inst LEA,Spingarn Senio r High School,Roosevel t High School
Non -At tend ing,2012-0453,Exped ite d Discipline,Spingarn Senio r High School,Roosevel t High School
Non -At tend ing,2012-0453,Exped ite d Discipline,Spingarn Senior High School,Roosevel t High School
Non -At tend ing,2012-0453,Exped ite d Discipline,Anacost ia Senior High Schoo l,Roosevel t High School
Anaco stia Senio r High School,2012-0449,Aga inst LEA,Anacost ia Senior High Schoo l,Roosevel t High School
Anaco stia Senio r High School,2012-0449,Aga inst LEA,Sousa M idd le School,Roosevel t High School
Sousa M idd le Schoo l,2012--0459,Aga inst LEA,Sousa M idd le School,Roosevel t High School
Sousa M idd le Schoo l,2012--0459,Aga inst LEA,Garf ield ES,Roosevel t High School
Garf ield ES,2012--0458,Aga inst LEA,Garf ield ES,Garf iel d ES
Garf ield ES,2012--0458,Aga inst LEA,Garfi eld ES,Garf iel d ES
Garf ield ES,2012--0458,Aga inst LEA,Johnson MS,Garf iel d ES
Johnson MS,2012--0460,Aga inst LEA,Johnson MS,Johnson M S
Ballou Senio r High School,2012--0462,Aga inst LEA,Ballou Senior High School,Ballou Senior High Schoo l
Ballou Senio r High School,2012--0462,Aga inst LEA,Hart M iddle School,Ballou Senior High Schoo l
Hart M iddle Schoo l,2012--0464,Aga inst LEA,Hart M iddle School,Hart M idd le Schoo l
Hart M iddle Schoo l,2012--0464,Aga inst LEA,Wilson Senior High School,Hart M idd le Schoo l
OTHER,2012--0463,Aga inst LEA,Wilson Senior High School,Wi lson Senio r High Schoo l
OTHER,2012--0463,Aga inst LEA,Cesar Chavez PCS,Wi lson Senio r High Schoo l
OTHER,2012--0461,Aga inst LEA,Cesar Chavez PCS,Cesar Chavez PCS
OTHER,2012--0461,Aga inst LEA,Dunbar High Schoo l,Cesar Chavez PCS
Dunbar High School,2012--0467,Aga inst LEA,Dunbar High School,Dunbar High School
Dunbar High School,2012--0467,Aga inst LEA,Dunba r High School,Dunbar High School
Dunbar High School,2012--0467,Aga inst LEA,Wa lker-Jones/Tu rner EC,Dunbar High School
Wa lker-Jones/T urner EC,2012--0466,Aga inst LEA,Wa lker-Jones/Tu rner EC,Wa lker-Jones/T urne r EC
Wa lker-Jones/T urner EC,2012--0466,Aga inst LEA,Wa lker-Jones/Turner EC,Wa lker-Jones/T urne r EC
Wa lker-Jones/T urner EC,2012--0466,Aga inst LEA,Deal M iddle School,Wa lker-Jones/T urne r EC
OTHER,2012--0465,Aga inst LEA,Deal M iddle School,Deal M iddle School
OTHER,2012--0465,Aga inst LEA,Deal M iddle School,St. Coletta Special Educat ion
St. Coletta Spec ial Education,2012--0468,Aga inst LEA,Deal M iddle School,St. Coletta Special Educat ion
St. Coletta Spec ial Education,2012--0468,Aga inst LEA,Deal M iddle School,PCS
Phill ips School,2012--0469,Aga inst LEA,Deal M iddle School,PCS
Phill ips School,2012--0469,Aga inst LEA,Langley EC,PCS
Langley EC,2012--0470,Aga inst LEA,Langley EC,Langley EC
Langley EC,2012--0470,Aga inst LEA,Johnson MS,Langley EC
Johnson MS,2012--0471,Aga inst LEA,Johnson MS,Johnson MS
Eliot -Hine M idd le School,2012--0472,Aga inst LEA,Eliot -Hine Middle School,Eliot -Hine M idd le School
High Road DC N-Z,2012--0474,Aga inst LEA,Eliot -Hine Middle School,Eliot -Hine M idd le School
High Road DC N-Z,2012--0474,Aga inst LEA,Turner@ Green Elementary,Turner@ Green Eleme ntary
Turner @ Green Elementary School,2012-0473,Against LEA,Turner@ Green Elementary,Turner@ Green Eleme ntary
Turner @ Green Elementary School,2012-0473,Against LEA,Turner@ Green Elementary,School
Turner @ Green Elementary School,2012-0473,Against LEA,Maya Angelou PCS( all campuses),School
Maya Angelou PCS (all campuses),2012--0475,Against LEA,Maya Angelou PCS( all campuses),Roosevelt High School
Coolidge High School,2012-0477,Against LEA,Coolidge High School,Anacostia Senior High School
Coolidge High School,2012-0477,Against LEA,Eastern High School,Anacostia Senior High School
Eastern High School,2012--0476,Against LEA,Eastern High School,Eastern High School
Booker T. Wash ingto n PCS,2012--0479,Against LEA,Booker T. Wash ington PCS,Ballou Senior High School
Booker T. Wash ingto n PCS,2012--0479,Against LEA,Kingsbury Day School,Ballou Senior High School
Kingsbury Day School,2012-0478,Against LEA,Kingsbury Day School,Ballou Senior High School
Kingsbury Day School,2012-0478,Against LEA,Roosevelt High School,Ballou Senior High School
Roosevelt High School,2012-0482,Expedited Discipline,Roosevelt High School,Roosevelt High School
Roosevelt High School,2012-0482,Expedited Discipline,Cardozo High School,Roosevelt High School
Cardozo High School,2012-0480,Against LEA,Cardozo High School,Anacost ia Senior High School
Cardozo High School,2012-0480,Against LEA,El iot-H ine Middle,Anacost ia Senior High School
Cardozo High School,2012-0480,Against LEA,El iot -Hine Middle,Anacost ia Senior High School
Eliot-H ine M iddle School,2012--0483,Against LEA,Eliot-H ine M iddle School,El iot-H ine M iddle School
Eliot-H ine M iddle School,2012--0483,Against LEA,El iot -Hine Middle,El iot-H ine M iddle School
Eliot-H ine M iddle School,2012--0483,Against LEA,El iot-H ine Middle,El iot-H ine M iddle School
Eliot-H ine M iddle School,2012--0483,Against LEA,Roosevelt High School,El iot-H ine M iddle School
Roosevelt High School,2012--0484,Against LEA,Roosevelt High School,Roosevelt High School
Roosevelt High School,2012--0484,Against LEA,Cardozo High School,Roosevelt High School
Cardozo High School,2012--0481,Against LEA,Cardozo High School,Roosevelt High School
Cardozo High School,2012--0481,Against LEA,Ballou Senior High School,Roosevelt High School
Ballou Senior High School,2012--0485,Against LEA,Ballou Senior High School,Ballou Senior High School
Ballou Senior High School,2012--0485,Against LEA,Lafayette Elementary,Ballou Senior High School
Lab School of Washington,2012--0486,Against LEA,Lafayette Elementary,Lafayette Elementary School
Lab School of Washington,2012--0486,Against LEA,Lafayette Elementary School,Lafayette Elementary School
Lab School of Washington,2012--0486,Against LEA,Cardozo High School,Lafayette Elementary School
cardozo High School,2012--0487,Aga inst LEA,Cardozo High School,cardozo High School
cardozo High School,2012--0487,Aga inst LEA,Ballou Senior High School,cardozo High School
Ballou Senio r High Schoo l,2012--0490,Aga inst LEA,Ballou Senior High School,Ballou Senio r High Schoo l
Childrens Guild - PG,2012--0491,Aga inst LEA,Ballou Senior High School,Sousa M iddle School
Childrens Guild - PG,2012--0491,Aga inst LEA,Wilson Senior High School,Sousa M iddle School
Wilson Senior High Schoo l,2012--0489,Against LEA,Wilson Senior High School,Sousa M iddle School
Wilson Senior High Schoo l,2012--0489,Against LEA,Kramer Middle School,Sousa M iddle School
Wilson Senior High Schoo l,2012--0489,Against LEA,Krame r Middle School,Sousa M iddle School
Wilson Senior High Schoo l,2012--0489,Against LEA,Krame r M iddle School,Sousa M iddle School
Kramer M iddle School,2012--0488,Aga inst LEA,Krame r M iddle School,Sousa M iddle School
Kramer M iddle School,2012--0488,Aga inst LEA,Krame r Middle School,Sousa M iddle School
King ML ES,2012--0492,Aga inst LEA,King M L ES,Sousa M iddle School
King ML ES,2012--0492,Aga inst LEA,Shaw MS@ Garnet -Pat terson,Sousa M iddle School
Shaw MS@ Garnet- Patt erson,2012--0493,Aga inst LEA,Shaw MS@ Garnet -Patt erson,Shaw MS @ Garn et-Pat terson
Shaw MS@ Garnet- Patt erson,2012--0493,Aga inst LEA,Shaw MS@ Garne t -Patt erson,Shaw MS @ Garn et-Pat terson
Shaw MS@ Garnet- Patt erson,2012--0493,Aga inst LEA,Prospect LC,Shaw MS @ Garn et-Pat terson
Prospect LC,2012--0494,Aga inst LEA,Prospect LC,Shaw MS @ Garn et-Pat terson
Prospect LC,2012--0494,Aga inst LEA,Mo ten Elemen tary Schoo l @ Wilkinson,Shaw MS @ Garn et-Pat terson
Prospect LC,2012--0494,Aga inst LEA,Mo ten Elemen ta ry Schoo l @ Wilkinson,Shaw MS @ Garn et-Pat terson
Prospect LC,2012--0494,Aga inst LEA,Moten Elemen tary Schoo l @ Wilkinson,Shaw MS @ Garn et-Pat terson
Prospect LC,2012--0494,Aga inst LEA,Mo ten Elementary Schoo l @ Wilkinson,Mo ten Eleme nta ry School@
Moten Elementary School @ Wi lkinson,2012--0495,Aga inst LEA,Mo ten Elementary Schoo l @ Wilkinson,Mo ten Eleme nta ry School@
Moten Elementary School @ Wi lkinson,2012--0495,Aga inst LEA,Mo ten Elemen ta ry Schoo l @ Wilkins on,Wilkinso n
Moten Elementary School @ Wi lkinson,2012--0495,Aga inst LEA,Moten Elemen tary Schoo l @ Wilkins on,Wilkinso n
Moten Elementary School @ Wi lkinson,2012--0495,Aga inst LEA,Moten Elementary Schoo l @ Wilkinson,Wilkinso n
Moten Elementary School @ Wi lkinson,2012--0495,Aga inst LEA,Moten Elemen tary Schoo l @ Wilkinson,Wilkinso n
Moten Elementary School @ Wi lkinson,2012--0495,Aga inst LEA,Shaw MS@ Garne t -Patterson,Wilkinso n
Shaw MS @ Garnet -Patt erson,2012--0497,Against LEA,Shaw MS@ Garne t -Patterson,Wilkinso n
Shaw MS @ Garnet -Patt erson,2012--0497,Against LEA,Shaw MS@ Garne t -Patt erson,Wilkinso n
Shaw MS @ Garnet -Patt erson,2012--0497,Against LEA,River Terrace ES,Wilkinso n
River Terrace ES,2012--0496,Aga inst LEA,River Terrace ES,River Terrace ES
River Terrace ES,2012--0496,Aga inst LEA,River Terrac e ES,River Terrace ES
Tyler Elementary School,2012--0501,Aga inst LEA,Ty ler Elemen tary Schoo l,River Terrace ES
Tyler Elementary School,2012--0501,Aga inst LEA,Garfi eld ES,River Terrace ES
. .,2012--0501,Aga inst LEA,Garfi eld ES,River Terrace ES
. .,2012--0501,Aga inst LEA,Other,River Terrace ES
OTHER,2012-0503,Aga inst LEA,Other,OTHER
Prospect LC,2012-0498,Aga inst LEA,Prospect LC,OTHER
Prospect LC,2012-0498,Aga inst LEA,Stoddert ES,OTHER
Stoddert ES,2012-0500,Aga inst LEA,Stoddert ES,Stodde rt ES
Stoddert ES,2012-0500,Aga inst LEA,Roosevelt High School,Stodde rt ES
Roosevelt High Schoo l,2012-0502,Aga inst LEA,Roosevelt High School,Stodde rt ES
Roosevelt High Schoo l,2012-0502,Aga inst LEA,Village Acade my,Stodde rt ES
Roosevelt High Schoo l,2012-0502,Aga inst LEA,Village Academy,Stodde rt ES
Village Academy,2012-05 04,Aga inst LEA,Village Academy,Stodde rt ES
Village Academy,2012-05 04,Aga inst LEA,Village Acade my,Stodde rt ES
Village Academy,2012-05 04,Aga inst LEA,Hend ley Elementary School,Stodde rt ES
Hendley Elementary Schoo l,2012-0505,Aga inst LEA,Hend ley Elementary School,Hendley Elementary Schoo l
Hendley Elementary Schoo l,2012-0505,Aga inst LEA,OTHER,Hendley Elementary Schoo l
OTHER,2012-0506,Aga inst LEA,OTHER,OTHER
OTHER,2012-0506,Aga inst LEA,Garf ield ES,OTHER
Garfie ld ES,2012-0508,Aga inst LEA,Garf ield ES,Garfie ld ES
Garfie ld ES,2012-0508,Aga inst LEA,Woodson Academy@ Ron Brown,Woodso n Academy@ Ron
Woodson Academy @ Ron Brown,2012-0509,Aga inst LEA,Woodson Academy@ Ron Brown,Woodso n Academy@ Ron
Woodson Academy @ Ron Brown,2012-0509,Aga inst LEA,Woodson Academy@ Ron Brown,Brown
Woodson Academy @ Ron Brown,2012-0509,Aga inst LEA,Cesar Chavez PCS,Brown
Monroe School,2012-0507,Aga inst LEA,Cesar Chavez PCS,Brown
Monroe School,2012-0507,Aga inst LEA,OTHER,Brown
OTHER,2012-0510,Aga inst LEA,OTHER,OTHER
OTHER,2012-0510,Aga inst LEA,Paul PCS,OTHER
Paul PCS,2012-05 11,Exped ited Discip line,Paul PCS,Shaw M S @ Garnet-Patterson
Paul PCS,2012-05 11,Exped ited Discip line,Ballou Senior High School,Shaw M S @ Garnet-Patterson
Ballou Senio r High Schoo l,2012-0S12,Aga inst LEA,Ballou Senior High School,Shaw M S @ Garnet-Patterson
Ballou Senio r High Schoo l,2012-0S12,Aga inst LEA,Kingsbury Day Schoo l,Shaw M S @ Garnet-Patterson
Kingsb ury Day School,2012-05 14,Aga inst LEA,Kingsbury Day Schoo l,Shepherd ES
Kingsb ury Day School,2012-05 14,Aga inst LEA,Founda t ion Schoo l of P.G. County,Shepherd ES
Kingsb ury Day School,2012-05 14,Aga inst LEA,Foundation Schoo l of P.G. County,Shepherd ES
Foundat ion Schoo l of P.G. County,2012-0513,Aga inst LEA,Foundation Schoo l of P.G. County,Shepherd ES
Foundat ion Schoo l of P.G. County,2012-0513,Aga inst LEA,Foundat ion Schoo l of P.G. County,Shepherd ES
Foundat ion Schoo l of P.G. County,2012-0513,Aga inst LEA,Lab Schoo l of Wash ington,Shepherd ES
Foundat ion Schoo l of P.G. County,2012-0513,Aga inst LEA,Lab Schoo l of Washington,Shepherd ES
Lab Schoo l of Was hington,2012-0515,Aga inst LEA,Lab Schoo l of Wash ington,Wi lson Senio r High School
Lab Schoo l of Was hington,2012-0515,Aga inst LEA,Lab Schoo l of Washington,Wi lson Senio r High School
Lab Schoo l of Was hington,2012-0515,Aga inst LEA,Kelly M iller MS,Wi lson Senio r High School
Kelly Mi ller MS,2012-05 17,Aga inst LEA,Kelly M iller MS,Ronald H. Brow n MS
Ballou Senio r High Schoo l,2012-05 19,Aga inst LEA,Ballou Senior High School,Ronald H. Brow n MS
Ballou Senio r High Schoo l,2012-05 19,Aga inst LEA,Spingarn Senior High School,Ronald H. Brow n MS
OTHER,2012-05 18,Aga inst LEA,Spingarn Senior High School,Spingarn Senior High School
OTHER,2012-05 18,Aga inst LEA,Ballou Senior High School,Spingarn Senior High School
Ballou Senio r High Schoo l,2012-0516,Aga inst LEA,Ballou Senior High School,Ballou Senior High Schoo l
Ballou Senio r High Schoo l,2012-0516,Aga inst LEA,Spinga rn Senior High School,Ballou Senior High Schoo l
Spingarn Senior High Schoo l,2012-0522,Aga inst LEA,Spinga rn Senior High School,Spingarn Senior High School
Spingarn Senior High Schoo l,2012-0522,Aga inst LEA,Spingarn Senior High School,Spingarn Senior High School
Spingarn Senior High Schoo l,2012-0522,Aga inst LEA,Village Academy,Spingarn Senior High School
Vi llage Academy,2012-0521,Aga inst LEA,Village Academy,Spingarn Senior High School
Vi llage Academy,2012-0521,Aga inst LEA,LaSalle-Backus EC,Spingarn Senior High School
LaSalle-Backus EC,2012-052 3,Aga inst LEA,LaSalle-Backus EC,Spingarn Senior High School
Sousa Middle,2012-0520,Aga inst LEA,Sousa M idd le School,Spingarn Senior High School
Roosevelt High Schoo l,2012-0525,Aga inst LEA,Roosevelt High School,Roosevelt High School
Roosevelt High Schoo l,2012-0525,Aga inst LEA,Ma mie D. Lee School,Roosevelt High School
Roosevelt High Schoo l,2012-0525,Aga inst LEA,Mam ie D. Lee School,Roosevelt High School
Mam ie D. Lee School,2012-0524,Aga inst LEA,Mam ie D. Lee School,Roosevelt High School
Mam ie D. Lee School,2012-0524,Aga inst LEA,Ma mie D. Lee School,Roosevelt High School
Bui lding for the Future,2012-053 1,Aga inst LEA,Ma mie D. Lee School,Roosevelt High School
Bui ldi ng for the Future,2012-0537,Against LEA,Ma mie D. Lee School,Bui ldi ng for the Future
Bui ldi ng for the Future,2012-0537,Against LEA,Roosevelt High School,Bui ldi ng for the Future
Roosevelt High Schoo l,2012-0709,Aga inst LEA,Roosevelt High School,Roosevel t High School
Bui ldi ng fo r t he Future,2012-0536,Aga inst LEA,Roosevelt High School,Buildi ng for the Futu re
Bui ldi ng fo r the Future,2012-0530,Aga inst LEA,Roosevelt High School,Buildi ng for the Futu re
Bui ldi ng for the Future,2012-0538,Aga inst LEA,Roosevelt High School,Buildi ng for the Future
Bui ldi ng for the Future,2012-0529,Aga inst LEA,Roosevelt High School,Buildi ng for the Future
Paul PCS,2012-0535,Aga inst LEA,Roosevelt High School,Buildi ng for the Future
Paul PCS,2012-0535,Aga inst LEA,Macfarland M iddle Schoo l,Buildi ng for the Future
Paul PCS,2012-0535,Aga inst LEA,Macfarland Midd le Schoo l,Buildi ng for the Future
Macfa rland Middle,2012-0539,Aga inst LEA,Macfarland Midd le Schoo l,Deal M idd le Schoo l
Macfa rland Middle,2012-0539,Aga inst LEA,Dunbar High School,Deal M idd le Schoo l
Macfa rland Middle,2012-0539,Aga inst LEA,Dunba r High Schoo l,Deal M idd le Schoo l
Dunbar High School,2012-0542,Aga inst LEA,Dunbar High School,Dunbar High School
Dunbar High School,2012-0542,Aga inst LEA,Dunba r High Schoo l,Dunbar High School
Dunbar High School,2012-0542,Aga inst LEA,Dunbar High Schoo l,Dunbar High School
Dunbar High School,2012-0542,Aga inst LEA,Dunba r High School,Dunbar High School
Art s and Techno logy Academy Public Charter,2012-0542,Aga inst LEA,Dunba r High School,Dunbar High School
Art s and Techno logy Academy Public Charter,2012-0541,Expedite d Discip line,Dunba r High School,Dunbar High School
School,2012-0541,Expedite d Discip line,Dunba r High School,Dunbar High School
School,2012-0541,Expedite d Discip line,Miner Elemen tary,Dunbar High School
Mi ner Elementa ry,2012-0540,Aga inst LEA,Mine r Elemen tary,Dunbar High School
Mi ner Elementa ry,2012-0540,Aga inst LEA,M ine r Elemen ta ry,Dunbar High School
Mi ner Elementa ry,2012-0540,Aga inst LEA,Other,Dunbar High School
Lab School of Was hington,2012-0544,Aga inst LEA,Other,Hearst Elementary School
Lab School of Was hington,2012-0544,Aga inst LEA,Othe r,Hearst Elementary School
Childrens Guild - PG,2012-0543,Aga inst LEA,Othe r,Sousa M idd le School
Childrens Guild - PG,2012-0543,Aga inst LEA,Francis-Stevens Education Center,Sousa M idd le School
Childrens Guild - PG,2012-0543,Aga inst LEA,Francis-StevensE ducation Center,Sousa M idd le School
Francis-Stevens Education Center,2012--0545,Aga inst LEA,Francis-Stevens Education Center,Sousa M idd le School
Francis-Stevens Education Center,2012--0545,Aga inst LEA,Francis-Stevens Educat ion Center,Sousa M idd le School
Francis-Stevens Education Center,2012--0545,Aga inst LEA,Francis-Stevens EducationC,Sousa M idd le School
Episcopal Cente r for,2012--0547,Aga inst LEA,Francis-Stevens Education Center,Sousa M idd le School
Lab School of Was hington,2012--0548,Aga inst LEA,Francis-Stevens Education Center,Wilson Senio r High School
Episcopal Cente r fo r Children,2012--0550,Aga inst LEA,Francis-Stevens Education Center,Wilson Senio r High School
Episcopal Center for,2012--0549,Aga inst LEA,Francis-Stevens Education Center,Wilson Senio r High School
SEEDP,2012--0546,Exped ited Discip line,Francis-Stevens Education Center,SEED PCS
Commonwea lth Academy,2012--0551,Aga inst LEA,Francis-Stevens Education Center,Eastern High Schoo l
Maya Angelou PCS( all campuses),2012-0552,Exped ite d Discipline,Francis-Stevens Education Center,Eastern High Schoo l
Maya Angelou PCS( all campuses),2012-0552,Exped ite d Discipline,Wilson Senior High School,Eastern High Schoo l
Wilson Senior High Schoo l,2012--0553,Aga inst LEA,Wi lson Senior High School,Eastern High Schoo l
Wilson Senior High Schoo l,2012--0553,Aga inst LEA,Wilson Senior High School,Eastern High Schoo l
Bui ldi ng fo r the Futu re,2012--0534,Aga inst LEA,Build ing for the Future,Buildi ng for the Futu re
Bui ldi ng for the Futur e,2012--0527,Aga inst LEA,Build ing for the Future,Buildi ng for the Futu re
Bui lding for the Futu re,2012--0640,Aga inst LEA,Build ing for the Future,Bui lding for the Futu re
Bui ldi ng fo r the Future,2012-0528,Aga inst LEA,Build ing for the Future,Bui lding for the Futu re
Bui ldi ng fo r the Future,2012--0526,Aga inst LEA,Build ing for the Future,Bui lding for the Futu re
Bui ldi ng fo r the Future,2012--0526,Aga inst LEA,Othe r,Bui lding for the Futu re
OTHER,2012--0554,Aga inst LEA,Othe r,Macfa rland M idd le Schoo l
OTHER,2012--0554,Aga inst LEA,Other,Macfa rland M idd le Schoo l
Bui ldi ng for the Future,2012--0533,Aga inst LEA,Other,Bui ldi ng for the Future
Bui ldi ng for the Future,2012--0533,Aga inst LEA,Wilson Senior High School,Bui ldi ng for the Future
W ilson Senior High Schoo l,2012--0557,Aga inst LEA,Wil son Senior High School,Anacost ia Senior High Schoo l
W ilson Senior High Schoo l,2012--0557,Aga inst LEA,Wi lson Senior High School,Anacost ia Senior High Schoo l
W ilson Senior High Schoo l,2012--0557,Aga inst LEA,Kelly M iller MS,Anacost ia Senior High Schoo l
Kelly M il ler MS,2012--0555,Aga inst LEA,Kelly M iller MS,Kelly Miller MS
Kelly M il ler MS,2012--0555,Aga inst LEA,Other,Kelly Miller MS
The Diener School,2012--0556,Aga inst LEA,Other,Janney Elementary School
The Diener School,2012--0556,Aga inst LEA,Village Academy,Janney Elementary School
The Diener School,2012--0556,Aga inst LEA,Village Acade my,Janney Elementary School
Village Academy,2012--0558,Aga inst LEA,Village Acade my,Janney Elementary School
Village Academy,2012--0558,Aga inst LEA,Village Academy,Janney Elementary School
Village Academy,2012--0559,Aga inst LEA,Village Acade my,Janney Elementary School
Village Academy,2012--0559,Aga inst LEA,Village Academy,Janney Elementary School
Village Academy,2012--0559,Aga inst LEA,Wi lson Senior High School,Janney Elementary School
W ilson Senior High Schoo l,2012--0560,Aga inst LEA,Wi lson Senior High School,Wi lson Senio r High School
W ilson Senior High Schoo l,2012--0560,Aga inst LEA,Wilson Senior High School,Wi lson Senio r High School
Monroe School,2012--0562,Aga inst LEA,Wilson Senior High School,Anacost ia Senior High Schoo l
Monroe School,2012--0561,Aga inst LEA,Wilson Senior High School,Dunbar High School
OTHER,2012--0564,Aga inst LEA,Wilson Senior High School,Cardozo High School
OTHER,2012--0564,Aga inst LEA,Wi lson Senior High School,Cardozo High School
OTHER,2012--0564,Aga inst LEA,W heat ley ES,Cardozo High School
OTHER,2012--0564,Aga inst LEA,Wheat ley ES,Cardozo High School
Wheatley ES,2012--0563,Aga inst LEA,Wheat ley ES,Wheatley ES
Wheatley ES,2012--0563,Aga inst LEA,W heat ley ES,Wheatley ES
Wheatley ES,2012--0563,Aga inst LEA,Cardozo High School,Wheatley ES
Wheatley ES,2012--0563,Aga inst LEA,Cardozo High Schoo l,Wheatley ES
OTHER,2012--0566,Aga inst LEA,Cardozo High School,Cardozo High School
Commonwea lth Academy,2012-0565,Against LEA,Cardozo High School,Eastern High Schoo l
Commonwea lth Academy,2012-0565,Against LEA,Macfarland M iddle Schoo l,Eastern High Schoo l
Macfa rland Middle Schoo l,2012-0568,Aga inst LEA,Macfarland Mi ddle Schoo l,Eastern High Schoo l
Macfa rland Middle Schoo l,2012-0568,Aga inst LEA,Macfarland M iddle Schoo l,Eastern High Schoo l
Macfa rland Middle Schoo l,2012-0568,Aga inst LEA,Dunba r High School,Eastern High Schoo l
Macfa rland Middle Schoo l,2012-0568,Aga inst LEA,Dunba r High Schoo l,Eastern High Schoo l
Macfa rland Middle Schoo l,2012-0568,Aga inst LEA,Dun bar High Schoo l,Eastern High Schoo l
OTHER,2012-0567,Aga inst LEA,Dun bar High Schoo l,Dunbar High School
OTHER,2012-0567,Aga inst LEA,Dunbar High School,Dunbar High School
OTHER,2012-0567,Aga inst LEA,Dunba r High School,Dunbar High School
OTHER,2012-0567,Aga inst LEA,Dunb ar High School,Dunbar High School
OTHER,2012-0567,Aga inst LEA,Kelly M iller M S,Dunbar High School
Kelly M il ler MS,2012-0569,Aga inst LEA,Kelly M iller M S,Dunbar High School
Kelly M il ler MS,2012-0569,Aga inst LEA,Kelly M iller MS,Dunbar High School
Capital Cit y PCS,2012-0579,Aga inst LEA,Kelly M iller MS,Dunbar High School
Monro e School,2012-0575,Aga inst LEA,Kelly M iller MS,Dunbar High School
Summit School,2012-0576,Aga inst LEA,Kelly M iller MS,Dunbar High School
Summit School,2012-0576,Aga inst LEA,Sousa M idd le School,Dunbar High School
Sousa Middle School,2012-0570,Aga inst LEA,Sousa M idd le School,Dunbar High School
Capital City PCS,2012-0573,Aga inst LEA,Sousa M idd le School,Dunbar High School
Capital City PCS,2012-0573,Aga inst LEA,Burrvil le Elementary Schoo l,Dunbar High School
