,matched_name,score,original_name
0,WHEATLEY ELEMENTARY CAMPUS,100,WHEATLEY ELEMENTARY CAMPUS
0,WASHINGTON METROPOLITAN HIGH SCHOOL,96,WASH INGTON MET ROPOLITA N HIGH SCHOOL
0,WALKER JONES ELEMENTARY CAMPUS,95,WALKER-JONES/TURNER ELEMENTARY CAMPUS
0,WHEATLEY ELEMENTARY CAMPUS,96,WHEA T LEY ELEMENTARY CAMPUS
0,MOTEN ELEMENTARY SCHOOL,90,MOTEN ELEMENTARY SCHOOL @ WILKINSO N
0,MCKINLEY TECHNOLOGY HIGH SCHOOL,98,MC KINLEY TECHNOLOGY HIGH SCHOOL
0,MCKINLEY TECHNOLOGY HIGH SCHOOL,98,MCKINL EY TECHNOLOGY HIGH SCHOOL
0,ST COLETTA SPECIAL EDUCATION PCS,97,ST. COLETT A SPECIAL EDUCATION PCS
0,ST COLETTA SPECIAL EDUCATION PCS,97,ST. COLETTA SPECIA L EDUCATION PCS
0,MCKINLEY MIDDLE SCHOOL,100,MCKINLEY MIDDLE SCHOOL
0,BRUCE MONROE ES AT PARK VIEW,95,BRUCE MONROE ES@  PARK VIEW
0,DOROTHY I HEIGHT ELEMENTARY SCHOOL,96,DOROTHY HEIGHTS ELEMENTARY SCHOOL
0,DOROTHY I HEIGHT ELEMENTARY SCHOOL,94,DOROTHY HEIGH TS ELEMENTARY SCHOOL
0,J O WILSON ELEMENTARY SCHOOL,91,"WILSON J, 0. ELEMENTARY SCHOOL"
0,PHELPS ARCHITECTURE CONSTRUCTION AND ENGINEERING HIGH SCHOOL,95,"PHELPS ARCH ITEC TURE , CONSTRUCTION, AND ENGINEERI NG HIGH SCHOOL"
0,HARDY MIDDLE SCHOOL,100,HARDY MIDDLE SCHOOL
0,TURNER ELEMENTARY SCHOOL,100,TURNER ELEMENTARY SCHOOL
0,MCKINLEY MIDDLE SCHOOL,98,MCKIN LEY MIDDLE SCHOOL
0,MCKINLEY MIDDLE SCHOOL,96,MC KIN LEY MIDDLE SCHOOL
0,POWELL ELEMENTARY SCHOOL,98,POWE LL ELEMENTARY SCHOOL
0,STODDERT ELEMENTARY SCHOOL,98,STOD DERT ELEMENTARY SCHOOL
0,WHEATLEY ELEMENTARY CAMPUS,98,WHEAT LEY ELEMENTARY CAMPUS
0,MCKINLEY TECHNOLOGY HIGH SCHOOL,98,MCK INLEY TECHNOLOGY HIGH SCHOOL
0,MCKINLEY TECHNOLOGY HIGH SCHOOL,97,MCK INLEY TECHNOL OGY HIGH SCHOOL
0,WALKER JONES ELEMENTARY CAMPUS,98,WAL KER JONES ELEMENTARY CAMPUS
0,WALKER JONES ELEMENTARY CAMPUS,100,WALKER JONES ELEMENTARY CAMPUS
0,HEARST ELEMENTARY SCHOOL,90,OF EDUCATION HEARST ELEMENTARY SCHOOL
0,DUKE ELLINGTON SCHOOL OF THE ARTS,96,DUKE ELLING TON SCHOOL OF T HE ART S
0,DUKE ELLINGTON SCHOOL OF THE ARTS,97,DUKE ELLI NGTON SCHOOL OF T HE ARTS
0,VAN NESS ELEMENTARY SCHOOL,100,VAN NESS ELEMENTARY SCHOOL
0,COLUMBIA HEIGHTS ELEMENTARY CAMPUS,100,COLUMBIA HEIGHTS ELEMENTARY CAMPUS
0,WHEATLEY ELEMENTARY CAMPUS,98,WHEATLE Y ELEMENTARY CAMPUS
0,COLUMBIA HEIGHTS ELEMENTARY CAMPUS,99,COLUM BIA HEIGHTS ELEMENTARY CAMPUS
0,WASHINGTON METROPOLITAN HIGH SCHOOL,95,WASH INGTON MET ROPO LITA N HIGH SCHOOL
0,RON BROWN COLLEGE PREPARATORY HIGH SCHOOL,99,RON BROW N COLLEGE PREPARATORY HIGH SCHOOL
0,RON BROWN COLLEGE PREPARATORY HIGH SCHOOL,100,RON BROWN COLLEGE PREPARATORY HIGH SCHOOL
0,COOLIDGE HIGH SCHOOL,98,COO LIDGE HIGH SCHOOL
0,BURRVILLE ELEMENTARY SCHOOL,96,BURRV I LLE ELEMENTARY SCHOOL
0,RON BROWN COLLEGE PREPARATORY HIGH SCHOOL,95,RON BROWN COLLEGE PREPARATORY
