,school_against_cleaned,id
4455,INCARCERATED YOUTH PROGRAM CORRECT IONAL DETENT ION FACILITY,4456
4456,INCARCERAT ED YOUT H PROGRAM CORRECTIONAL,4457
4459,INCARCERATED YOUT H PROGRA M CORREC T IONAL DETENTION,4460
4472,INSPIRED TEACHING DEMONS TRAT ION PCS,4473
4473,INSPIRED TEACHING DEMONSTRAT ION PCS,4474
4474,INSPIRED TEACHING DEMONST RAT ION PCS,4475
4475,INSPIRED TEACHING DEMONSTRA T ION PCS,4476
4477,INSPIRED TEACHING DEMONSTRATION PCS,4478
4478,INSPIRED TEACHING DEMONSTRAT,4479
4515,04/08/2015,4516
4537,ANACO ST IA SEN IOR HIGH SCHOOL,4538
4541,WAT KINS ELEMENTARY SCHOOL,4542
4645,KING ML ELEMENTARY SCHOOL,4646
4658,MA LCOLM X ELEMENTARY SCHOOL,4659
4683,LUDLOW- TAYLOR ELEMENTARY SCHOOL,4684
4699,CAPIT AL CITY PCS,4700
4701,CAPITAL CITY PCS,4702
4736,HARDY M S @ HAMILTO N SCHOOL,4737
4753,COLUMB IA HEIGH TS EDUCATION CENTE R HIGH SCHOOL,4754
4766,BANCROFT ELEMENTARY SCHOOL,4767
4767,BANCRO FT ELEMENTARY SCHOOL,4768
4770,"WILLI AM E. DOAR, JR. PCS FOR THE PERFO RMING ARTS",4771
4772,"W ILLIAM E. DOAR, JR. PCS FOR THE PERFORMING ARTS",4773
4773,ACHIEVEM ENT PREP ACADEMY PUBLIC CHAR TER SCHOOL,4774
4775,ACHIEVEMENT PREP ACADEMY PUBLIC CHARTER SCHOOL,4776
4818,TREE OF LIFE COMMUNITY PCS,4819
4820,TREE OF LIFE COMMUNI TY PCS,4821
4830,CENTER CITY PCS,4831
4844,ACCO TI NK ACADEMY,4845
4848,ELEMENTARY SCHOOL @ WILKINSO N,4849
4851,ELEMENTARY SCHOOL @ WILKINSON,4852
4855,R ELEMENTARY SCHOOL,4856
4857,ELEMENTARY SCHOOL,4858
4870,SENIOR HIGH SCHOOL,4871
4877,PCS (ALL CAMPUSES),4878
4885,CAMPUS,4886
4892,HOSP ITAL ITY PCSH IGH SCHOOL,4893
4893,HOSP ITAL ITY PCS HIGH SCHOOL,4894
4908,WASHING TON MATH SCIENCE TECHNOLOGY PUB LIC CHARTE R SCHOOL,4909
4909,WASHINGTON MATH SCIENCE TECHNOLOGY PUB LIC CHARTE R SCHOOL,4910
4911,WASHINGTON MATH SCIENCE TECHNOLOGY PUBLIC CHARTE R SCHOOL,4912
4912,WASHIN GT ON MATH SCIENCE TECHNOLOGY PUB LIC CHARTER,4913
4920,WASHING TON MATH SCIENCE TECHNOLOGY PUB LIC CHARTER,4921
4922,WAS HINGTON MATH SCIENCE TECHNOLOGY PUB LIC CHARTER,4923
4927,HOWARD UN IVERSITY PCS,4928
4955,EAGLE ACADE MY PCS,4956
5007,EMERSON PREPARATORY,5008
5042,REGINALD LOUR IE CENTE R SCHOOL,5043
5043,REGINALD LOURIE CENTE R SCHOOL,5044
5045,REGINA LD LOUR IE CENTER SCHOOL,5046
5047,NEW BEGINNINGS VOCAT IONA L SCHOOL,5048
5054,BROOK LAND MIDDLE SCHOOL,5055
5070,DC SCHOLARS PUBLIC CHARTER SCHOOL,5071
5072,EAGLE ACADEMY PCS,5073
5104,CLEVE LAND ELEMENTARY SCHOOL,5105
5168,KINGSMAN,5169
5170,KINGSMA N,5171
5176,NEW BEGINNI NGS VOCAT ION AL SCHOOL,5177
5191,ACHIEVEMENT PREP ACADEMY PUB LIC CHARTER SCHOOL,5192
5201,STUART -HO BSON MIDDLE SCHOOL,5202
5214,DC DETENT ION FACILITY,5215
5222,WASHINGTON METROPO LITAN HIGH SCHOOL,5223
5223,WASHINGTON MET RO POLITAN HIGH SCHOOL,5224
5237,ROOSEVELT S.T.A.YH IGH SCHOOL,5238
5247,WALKER-JONES/T URNER ELEMENTARY CAMPUS,5248
5288,COLUM BIA HEIGHT S EDUCATION CENTE R HIGH SCHOOL,5289
5293,COLUM BIA HEIGHTS EDUCATION CENTER HIGH SCHOOL,5294
5300,NON-ATTEND ING,5301
5318,TREE OF LIFE COM MUNITY PCS,5319
5361,BROOKLAND MIDDLE SCHOOL,5362
5442,FRANCIS~STEVENSEDUCATIONC ENTER,5443
5459,03/24/2016,5460
5474,NATIONAL CHILDRE N'S CENTE R (N•Z),5475
5475,NAT IONAL CHILDREN'S CENTER (N-Z),5476
5476,NATIONAL CHILDREN'S CENTER (N-Z),5477
5542,OF YOUT H REHABILITATION,5543
5543,OF YOUT H REHABILIT AT ION SERVICELEMENTARY SCHOOL,5544
5548,BUNKER HILL ELEMENTARY SCHOOL,5549
5551,STUART -HOB SON MIDDLE SCHOOL,5552
5569,RICHARD WRIGH T PCS,5570
5570,RICHARD WRIGHT,5571
5640,SCHOOL,5641
5669,BENJAM IN BANN EKER ACADEM IC HIGH SCHOOL,5670
5676,BROOK LAND M S,5677
5684,WHITT IE R ELEMENTARY SCHOOL,5685
5686,WH ITT IER ELEMENTARY SCHOOL,5687
5702,TRUESDE LL ELEMENTARY SCHOOL,5703
5703,TRUESDEL L ELEMENTARY SCHOOL,5704
5719,H.O. WO ODSON SENIOR HIGH SCHOOL,5720
5732,HARDY MS @ HAMIL TON SCHOOL,5733
5775,WASHINGTON MET ROPO LITAN HIGH SCHOOL,5776
5840,EARLY STAGES A-M,5841
5852,CHELSEA SCHOOL,5853
5912,ARCHBISHOP CARROLL HIGH SCHOOL,5913
5915,ARCHBISHO P CARR OLL HIGH SCHOOL,5916
5953,EARLY STAGES A•M,5954
5985,"PHELPS ARCHITECTURE, CONSTRUCTION,A ND ENGINEERING HIGH SCHOOL",5986
5987,"PHELPS ARCHITECTURE , CONSTRUC TION, AND ENGINEERI NG HIGH SCHOOL",5988
5988,RIVER TERRACE ELEMENTARY CAMPUS,5989
5996,WASH INGTON METROPO LITAN HIGH SCHOOL,5997
5998,WASH INGTON METROPO LITA N HIGH SCHOOL,5999
5999,WASH ING TON METROPO LITA N HIGH SCHOOL,6000
6008,L AB SCHOOL OF WASH INGTON,6009
6011,LANGLEY ELEMENTARY SCHOOL,6012
6046,DCPS PRIVATE AND RELGIOUS OFFICE IPRO),6047
6047,LINCOLN MIDDLE SCHOOL,6048
6077,"PHELPS ARCH ITECTURE, CONST RUC TION, AND ENGINEERI NG HIGH SCHOOL",6078
6101,LAFAY ETTE ELEMENTARY SCHOOL,6102
6211,COOLID GE HIGH SCHOOL,6212
6240,BRIGHTWO OD ELEMENTARY CAMPUS,6241
6283,FROST SCHOOL • ROCKVILLE,6284
6284,FROST SCHOOL - ROCKVILLE,6285
6314,WATKI NS ELEMENTARY SCHOOL,6315
6350,MCLEAN SCHOOL,6351
6377,ROOSEVELT HIGHS CHOOL,6378
6392,MA URY ELEMENTARY SCHOOL,6393
6408,WHEATLEY ELEMENTARY CAMPUS,6409
6427,RAYMOND EDUCATION,6428
6428,RAYMOND EDUCATION CAMPUS,6429
6435,WASH INGTON MET ROPOLITA N HIGH SCHOOL,6436
6440,WALKER-JONES/TURNER ELEMENTARY CAMPUS,6441
6487,WHEA T LEY ELEMENTARY CAMPUS,6488
6497,LA B SCHOOL OF WASH INGTON,6498
6537,MOTEN ELEMENTARY SCHOOL @ WILKINSO N,6538
6560,COLUMBIA HEIGHTS EDUCATION CENTER HIGH SCHOOL,6561
6565,COLUMBIA HEIGH TS EDUCATION CENTER HIGH SCHOOL,6566
6573,BALLO U SEN IOR HIGH SCHOOL,6574
6587,MC KINLEY TECHNOLOGY HIGH SCHOOL,6588
6588,MCKINL EY TECHNOLOGY HIGH SCHOOL,6589
6597,ST. COLETT A SPECIAL EDUCATION PCS,6598
6600,ST. COLETTA SPECIA L EDUCATION PCS,6601
6621,REGINA LD LOUR IE CENTE R SCHOOL,6622
6622,REGINALD LOUR IE CENTER SCHOOL,6623
6623,REGINALD LOU RIE CENTE R SCHOOL,6624
6624,REGINALD LOURIE CENTER SCHOOL,6625
6643,WATKINS ELEMENTARY SCHOOL,6644
6678,MCKINLEY MIDDLE SCHOOL,6679
6698,FRANCIS•STEVENSEDUCATIONC ENTER,6699
6715,TRUESDELL ELEMENTARY SCHOOL,6716
6776,BRUCE MONROE ES@  PARK VIEW,6777
6807,DOROTHY HEIGHTS ELEMENTARY SCHOOL,6808
6809,DOROTHY HEIGH TS ELEMENTARY SCHOOL,6810
6815,"WILSON J, 0. ELEMENTARY SCHOOL",6816
6816,WI LSON J. 0. ELEMENTARY SCHOOL,6817
6817,WILSONJ. 0. ELEMENTARY SCHOOL,6818
6907,"PHELPS ARCH ITEC TURE , CONSTRUCTION, AND ENGINEERI NG HIGH SCHOOL",6908
7021,NON-ATTENDIN,7022
7056,HARDY MIDDLE SCHOOL,7057
7067,TURNER ELEMENTARY SCHOOL,7068
7088,CARDOZO EDUCATIONAL,7089
7126,MCKIN LEY MIDDLE SCHOOL,7127
7128,MC KIN LEY MIDDLE SCHOOL,7129
7148,COLUMB IA HEIGHTS EDUCATION CENT ER HIGH SCHOOL,7149
7168,POWE LL ELEMENTARY SCHOOL,7169
7177,STOD DERT ELEMENTARY SCHOOL,7178
7185,NON -AT TENDIN G,7186
7197,CUMBERLAN D HOSPITA L,7198
7199,CUMBER LAN D HOSPITA L,7200
7215,WHEAT LEY ELEMENTARY CAMPUS,7216
7246,MCK INLEY TECHNOLOGY HIGH SCHOOL,7247
7248,MCK INLEY TECHNOL OGY HIGH SCHOOL,7249
7304,WAL KER JONES ELEMENTARY CAMPUS,7305
7306,WALKER JONES ELEMENTARY CAMPUS,7307
7307,CHILDRENS GUILD - PG,7308
7324,OF EDUCATION HEARST ELEMENTARY SCHOOL,7325
7383,CARDOZO EDUCATIONA L CAMPUS,7384
7409,DUKE ELLING TON SCHOOL OF T HE ART S,7410
7411,DUKE ELLI NGTON SCHOOL OF T HE ARTS,7412
7444,VAN NESS ELEMENTARY SCHOOL,7445
7527,HYDE-ADD ISON ELEMENTARY SCHOOL,7528
7534,COLUMBIA HEIGHTS ELEMENTARY CAMPUS,7535
7536,LA B SCHOOL OF WASHINGTON,7537
7609,SCHOOL W ITHIN A SCHOOL,7610
7610,SCHOOL W IT HIN A SCHOOL,7611
7642,WHEATLE Y ELEMENTARY CAMPUS,7643
7651,COLUM BIA HEIGHTS ELEMENTARY CAMPUS,7652
7722,WASH INGTON MET ROPO LITA N HIGH SCHOOL,7723
7784,BENJAMIN BANNE KER ACADEM IC HIGH SCHOOL,7785
7797,03/26/ 2019,7798
7889,RON BROW N COLLEGE PREPARATORY HIGH SCHOOL,7890
7891,RON BROWN COLLEGE PREPARATORY HIGH SCHOOL,7892
7897,COO LIDGE HIGH SCHOOL,7898
7902,BURRV I LLE ELEMENTARY SCHOOL,7903
7911,INCARCERATED YOUT H PROGRAM CORRECT IONAL DETENTION,7912
7922,CAR DOZO EDUCATIONAL CAMPUS,7923
7927,RON BROWN COLLEGE PREPARATORY,7928
7936,OTH ER,7937
